Age,Annual_Income_INR,State,Category,Eligible_Scheme
37,1080933,West Bengal,SC,PM Kisan
65,334464,Rajasthan,OBC,Atal Pension Yojana
57,198972,Bihar,SC,Ayushman Bharat
44,831532,Uttar Pradesh,General,PM Kisan
71,206879,Rajasthan,EWS,Atal Pension Yojana
50,594541,Rajasthan,OBC,PM Awas Yojana
37,740618,Bihar,OBC,PM Awas Yojana
51,904720,Rajasthan,General,PM Kisan
22,1072876,Uttar Pradesh,General,Mudra Loan
25,986228,Uttar Pradesh,EWS,Mudra Loan
63,179360,Rajasthan,EWS,Ayushman Bharat
53,1088006,Madhya Pradesh,General,PM Kisan
52,492587,Gujarat,SC,Atal Pension Yojana
69,1157330,Rajasthan,OBC,Atal Pension Yojana
73,767839,Madhya Pradesh,EWS,Atal Pension Yojana
71,1125378,West Bengal,ST,Atal Pension Yojana
48,559022,Karnataka,OBC,Atal Pension Yojana
39,932786,Uttar Pradesh,SC,Atal Pension Yojana
38,1171206,Bihar,ST,Mudra Loan
56,275935,Gujarat,General,Atal Pension Yojana
18,1141979,Gujarat,OBC,Mudra Loan
79,359233,Uttar Pradesh,EWS,Atal Pension Yojana
75,95854,Bihar,EWS,PM Awas Yojana
64,109175,Maharashtra,ST,PM Kisan
47,410735,Bihar,EWS,Atal Pension Yojana
45,1146850,Uttar Pradesh,General,National Scholarship
51,150700,Gujarat,SC,PM Kisan
35,1030844,Bihar,OBC,Stand Up India
69,166013,Maharashtra,EWS,PM Kisan
54,714092,Rajasthan,SC,Stand Up India
48,963080,Gujarat,OBC,Mudra Loan
36,54777,Bihar,OBC,PM Awas Yojana
66,418938,Uttar Pradesh,General,Atal Pension Yojana
49,288727,Bihar,EWS,Mudra Loan
51,1136879,Maharashtra,General,PM Awas Yojana
30,370880,Uttar Pradesh,OBC,National Scholarship
21,632694,Bihar,SC,National Scholarship
59,932261,Rajasthan,General,Atal Pension Yojana
28,85630,Madhya Pradesh,SC,PM Kisan
67,404765,West Bengal,SC,Atal Pension Yojana
43,201194,Rajasthan,EWS,National Scholarship
26,813828,West Bengal,General,National Scholarship
55,238003,Tamil Nadu,General,Stand Up India
56,591885,West Bengal,General,Atal Pension Yojana
40,1062202,Bihar,EWS,National Scholarship
56,512822,Uttar Pradesh,General,Atal Pension Yojana
64,197835,Karnataka,OBC,PM Kisan
62,513375,Bihar,ST,Atal Pension Yojana
73,316248,Bihar,General,Atal Pension Yojana
45,933263,Madhya Pradesh,General,Mudra Loan
64,863210,West Bengal,EWS,Atal Pension Yojana
36,907602,Rajasthan,EWS,Stand Up India
35,122305,Gujarat,OBC,Ayushman Bharat
44,1054330,Rajasthan,SC,PM Kisan
45,1144949,Tamil Nadu,ST,PM Kisan
72,111674,Tamil Nadu,ST,PM Kisan
59,207347,Gujarat,OBC,Atal Pension Yojana
40,407222,Karnataka,SC,PM Awas Yojana
73,888148,Uttar Pradesh,OBC,Atal Pension Yojana
80,478733,Karnataka,SC,Atal Pension Yojana
77,236869,West Bengal,SC,Atal Pension Yojana
80,232856,Rajasthan,ST,Atal Pension Yojana
72,1025177,Maharashtra,EWS,Atal Pension Yojana
37,1173832,Gujarat,OBC,PM Kisan
71,966521,West Bengal,SC,Atal Pension Yojana
22,1161272,Maharashtra,SC,Mudra Loan
21,921975,Madhya Pradesh,General,Mudra Loan
54,803602,Madhya Pradesh,EWS,Atal Pension Yojana
28,628401,Madhya Pradesh,EWS,National Scholarship
78,947956,Rajasthan,SC,Atal Pension Yojana
60,243483,West Bengal,EWS,Atal Pension Yojana
59,963932,Karnataka,General,Atal Pension Yojana
48,169181,Maharashtra,General,Ayushman Bharat
35,559112,Karnataka,General,Atal Pension Yojana
76,208284,Tamil Nadu,EWS,Atal Pension Yojana
23,317346,Rajasthan,SC,Mudra Loan
21,222768,Maharashtra,EWS,Mudra Loan
51,886964,Gujarat,SC,Atal Pension Yojana
42,1087042,Karnataka,OBC,Stand Up India
49,675281,Karnataka,ST,National Scholarship
54,245019,Tamil Nadu,SC,Mudra Loan
49,423180,Madhya Pradesh,SC,Mudra Loan
20,1067795,Gujarat,ST,National Scholarship
34,1098667,Tamil Nadu,General,Stand Up India
19,1083491,Maharashtra,EWS,Mudra Loan
75,226019,Gujarat,SC,Atal Pension Yojana
64,151330,West Bengal,ST,PM Awas Yojana
62,762162,Tamil Nadu,EWS,Atal Pension Yojana
23,1099551,Madhya Pradesh,ST,Mudra Loan
25,1027443,Bihar,EWS,National Scholarship
32,208441,Gujarat,OBC,National Scholarship
24,118300,Uttar Pradesh,EWS,PM Awas Yojana
60,503166,Maharashtra,ST,Atal Pension Yojana
28,1072654,Maharashtra,SC,Mudra Loan
48,792431,Gujarat,SC,National Scholarship
72,840683,Gujarat,EWS,Atal Pension Yojana
34,792214,Maharashtra,ST,Ayushman Bharat
73,154386,Gujarat,SC,Ayushman Bharat
79,1143646,Bihar,OBC,Atal Pension Yojana
60,1004343,Karnataka,SC,Atal Pension Yojana
60,247454,West Bengal,General,Atal Pension Yojana
47,574102,Maharashtra,EWS,Atal Pension Yojana
36,648754,Maharashtra,SC,Atal Pension Yojana
40,806504,Uttar Pradesh,OBC,Ayushman Bharat
29,1171027,Bihar,ST,Mudra Loan
66,740436,Uttar Pradesh,SC,Atal Pension Yojana
44,801715,Bihar,General,Atal Pension Yojana
56,518359,Bihar,EWS,Atal Pension Yojana
47,332450,Maharashtra,General,Atal Pension Yojana
54,914921,Maharashtra,SC,Atal Pension Yojana
33,95007,Uttar Pradesh,General,Ayushman Bharat
19,686622,Gujarat,SC,Mudra Loan
28,66668,West Bengal,SC,Ayushman Bharat
49,802398,Rajasthan,OBC,PM Kisan
57,1130157,Karnataka,OBC,Atal Pension Yojana
76,290754,Maharashtra,ST,Atal Pension Yojana
60,898868,Karnataka,General,Atal Pension Yojana
37,211273,West Bengal,OBC,Mudra Loan
58,1048283,Rajasthan,EWS,Atal Pension Yojana
80,812094,Gujarat,General,Atal Pension Yojana
42,183015,West Bengal,OBC,PM Awas Yojana
50,1090647,Uttar Pradesh,EWS,Atal Pension Yojana
65,542273,Bihar,General,Atal Pension Yojana
66,238508,Uttar Pradesh,SC,Atal Pension Yojana
23,697440,Bihar,ST,Mudra Loan
63,536953,Maharashtra,OBC,Atal Pension Yojana
26,908246,Uttar Pradesh,ST,Mudra Loan
50,412072,West Bengal,SC,National Scholarship
67,1122094,Tamil Nadu,General,Atal Pension Yojana
55,127516,West Bengal,ST,PM Awas Yojana
56,443683,Uttar Pradesh,ST,Atal Pension Yojana
19,256851,Rajasthan,EWS,National Scholarship
18,637556,Gujarat,ST,National Scholarship
50,1039517,Tamil Nadu,SC,PM Kisan
52,141440,Bihar,OBC,PM Kisan
31,812254,Maharashtra,SC,Stand Up India
23,1089790,Rajasthan,EWS,Mudra Loan
35,665548,Bihar,EWS,PM Awas Yojana
28,972128,Tamil Nadu,EWS,Mudra Loan
62,478003,West Bengal,EWS,Atal Pension Yojana
29,1196311,Rajasthan,SC,Mudra Loan
26,982366,Gujarat,SC,Mudra Loan
41,853841,Uttar Pradesh,SC,Mudra Loan
32,167556,Rajasthan,OBC,PM Kisan
27,442900,Karnataka,SC,National Scholarship
36,1065632,Gujarat,General,Atal Pension Yojana
67,467094,Gujarat,EWS,Atal Pension Yojana
50,968095,Madhya Pradesh,ST,Mudra Loan
47,1006547,Rajasthan,General,Ayushman Bharat
27,1094637,Rajasthan,ST,National Scholarship
63,721941,Rajasthan,ST,Atal Pension Yojana
80,91377,Bihar,General,Ayushman Bharat
30,811307,Maharashtra,SC,PM Awas Yojana
71,159101,Gujarat,SC,Ayushman Bharat
42,1140055,Tamil Nadu,General,PM Awas Yojana
21,199749,Gujarat,EWS,PM Awas Yojana
24,763665,Madhya Pradesh,General,National Scholarship
28,786824,Maharashtra,General,Mudra Loan
55,817209,Karnataka,General,PM Kisan
20,796534,Uttar Pradesh,ST,Mudra Loan
57,207849,West Bengal,SC,Atal Pension Yojana
31,268768,Uttar Pradesh,General,National Scholarship
46,1109928,Uttar Pradesh,OBC,National Scholarship
44,753815,West Bengal,General,PM Awas Yojana
42,218986,Gujarat,SC,Stand Up India
72,226705,Maharashtra,General,Atal Pension Yojana
48,761438,Gujarat,General,Stand Up India
79,538045,Rajasthan,OBC,Atal Pension Yojana
49,512775,Karnataka,EWS,Ayushman Bharat
46,416748,Rajasthan,General,PM Kisan
38,558906,Karnataka,EWS,Mudra Loan
31,760829,Gujarat,General,Stand Up India
68,56419,Madhya Pradesh,ST,Ayushman Bharat
45,382769,Bihar,OBC,PM Awas Yojana
20,247278,Madhya Pradesh,OBC,National Scholarship
36,439761,Bihar,OBC,Stand Up India
50,922339,West Bengal,ST,PM Kisan
35,819062,West Bengal,ST,PM Kisan
78,86585,Gujarat,EWS,Ayushman Bharat
60,1066830,Maharashtra,ST,Atal Pension Yojana
32,1154489,Rajasthan,General,Mudra Loan
54,87757,Rajasthan,EWS,PM Awas Yojana
19,58993,West Bengal,EWS,Ayushman Bharat
46,682885,Tamil Nadu,OBC,Ayushman Bharat
46,362183,Madhya Pradesh,OBC,Mudra Loan
19,398535,Uttar Pradesh,SC,Mudra Loan
80,1121175,Maharashtra,EWS,Atal Pension Yojana
52,523570,Gujarat,EWS,PM Awas Yojana
80,752951,Uttar Pradesh,SC,Atal Pension Yojana
46,751257,Bihar,EWS,Mudra Loan
58,932760,Gujarat,General,Atal Pension Yojana
78,1005339,Madhya Pradesh,ST,Atal Pension Yojana
19,842139,Tamil Nadu,ST,Mudra Loan
73,484909,Tamil Nadu,ST,Atal Pension Yojana
45,852325,Uttar Pradesh,ST,PM Kisan
42,148331,Maharashtra,EWS,PM Awas Yojana
61,963493,Madhya Pradesh,SC,Atal Pension Yojana
42,305127,Tamil Nadu,SC,PM Kisan
50,793037,West Bengal,EWS,National Scholarship
34,581839,West Bengal,ST,Atal Pension Yojana
69,989204,Gujarat,General,Atal Pension Yojana
80,392169,Bihar,SC,Atal Pension Yojana
61,205686,Bihar,EWS,Atal Pension Yojana
57,493010,Maharashtra,SC,Atal Pension Yojana
22,725297,Gujarat,General,National Scholarship
58,788937,Madhya Pradesh,ST,Atal Pension Yojana
54,1103056,Rajasthan,OBC,Mudra Loan
38,635531,Uttar Pradesh,EWS,Atal Pension Yojana
40,558805,Maharashtra,General,Ayushman Bharat
57,391445,Uttar Pradesh,EWS,Atal Pension Yojana
50,352408,Karnataka,ST,PM Awas Yojana
59,1107732,Maharashtra,ST,Atal Pension Yojana
44,827118,Gujarat,OBC,Mudra Loan
70,536092,Gujarat,OBC,Atal Pension Yojana
70,797591,Madhya Pradesh,General,Atal Pension Yojana
25,173631,Madhya Pradesh,EWS,PM Kisan
73,445367,Rajasthan,ST,Atal Pension Yojana
66,1188601,Rajasthan,ST,Atal Pension Yojana
44,958045,Maharashtra,SC,PM Kisan
69,841521,Rajasthan,SC,Atal Pension Yojana
53,573093,West Bengal,OBC,Stand Up India
48,943108,Tamil Nadu,ST,National Scholarship
63,484253,Tamil Nadu,OBC,Atal Pension Yojana
63,953477,Tamil Nadu,SC,Atal Pension Yojana
46,423383,Madhya Pradesh,General,PM Kisan
23,206329,Madhya Pradesh,EWS,National Scholarship
24,789925,Madhya Pradesh,General,National Scholarship
69,694077,Bihar,General,Atal Pension Yojana
57,800667,West Bengal,ST,Atal Pension Yojana
25,986645,Rajasthan,SC,Mudra Loan
43,300732,Maharashtra,OBC,Ayushman Bharat
27,191609,Gujarat,OBC,Ayushman Bharat
30,509621,Rajasthan,SC,PM Kisan
23,887191,Gujarat,General,Mudra Loan
62,552874,West Bengal,ST,Atal Pension Yojana
56,444080,Bihar,ST,Atal Pension Yojana
34,263519,Maharashtra,EWS,PM Awas Yojana
52,959026,Maharashtra,ST,PM Kisan
36,802681,Karnataka,EWS,Mudra Loan
40,360586,Gujarat,General,PM Kisan
30,509565,Bihar,EWS,PM Awas Yojana
22,399812,Uttar Pradesh,SC,Mudra Loan
57,537346,Karnataka,ST,Atal Pension Yojana
58,706263,Gujarat,EWS,Atal Pension Yojana
80,805808,Uttar Pradesh,General,Atal Pension Yojana
39,739371,Madhya Pradesh,ST,Atal Pension Yojana
40,330669,West Bengal,General,Ayushman Bharat
64,276753,Madhya Pradesh,ST,Atal Pension Yojana
41,1124369,Tamil Nadu,SC,PM Kisan
57,189977,Rajasthan,OBC,PM Kisan
21,1053402,Gujarat,General,National Scholarship
67,277670,Gujarat,SC,Atal Pension Yojana
72,794400,Maharashtra,SC,Atal Pension Yojana
42,553505,Bihar,General,Mudra Loan
58,237891,West Bengal,SC,Atal Pension Yojana
31,502095,Bihar,EWS,PM Awas Yojana
78,83169,Tamil Nadu,OBC,PM Awas Yojana
75,870701,Karnataka,SC,Atal Pension Yojana
58,1157318,Karnataka,ST,Atal Pension Yojana
55,955984,Karnataka,ST,Stand Up India
20,1055755,Karnataka,OBC,National Scholarship
33,437873,Madhya Pradesh,General,Atal Pension Yojana
61,431710,Maharashtra,ST,Atal Pension Yojana
33,207314,West Bengal,ST,Mudra Loan
24,796333,Rajasthan,General,Mudra Loan
65,258303,Maharashtra,OBC,Atal Pension Yojana
41,961137,Bihar,OBC,Atal Pension Yojana
43,115196,West Bengal,EWS,PM Kisan
71,165837,Rajasthan,SC,PM Awas Yojana
20,779175,Bihar,OBC,National Scholarship
45,85949,West Bengal,OBC,Ayushman Bharat
54,55927,Bihar,ST,PM Kisan
80,1191265,Gujarat,OBC,Atal Pension Yojana
18,242010,Karnataka,OBC,National Scholarship
72,1099642,Maharashtra,SC,Atal Pension Yojana
58,1121346,West Bengal,OBC,Atal Pension Yojana
26,487509,Madhya Pradesh,OBC,National Scholarship
43,553742,Bihar,SC,Ayushman Bharat
71,611718,Tamil Nadu,ST,Atal Pension Yojana
36,953364,Uttar Pradesh,General,Atal Pension Yojana
35,1057260,Tamil Nadu,OBC,National Scholarship
44,727730,Madhya Pradesh,General,Mudra Loan
65,371825,West Bengal,General,Atal Pension Yojana
53,131598,Bihar,OBC,PM Kisan
52,1152811,Karnataka,ST,Mudra Loan
25,1185795,Bihar,EWS,Mudra Loan
40,83683,Tamil Nadu,EWS,PM Awas Yojana
55,399784,West Bengal,OBC,Stand Up India
29,263876,Rajasthan,ST,Mudra Loan
28,1022102,Uttar Pradesh,ST,National Scholarship
69,761394,Madhya Pradesh,OBC,Atal Pension Yojana
47,407663,West Bengal,General,PM Kisan
25,969054,Uttar Pradesh,SC,Mudra Loan
60,530466,Tamil Nadu,EWS,Atal Pension Yojana
65,918120,Bihar,EWS,Atal Pension Yojana
30,689878,Rajasthan,SC,National Scholarship
30,205630,Gujarat,EWS,Atal Pension Yojana
22,581867,West Bengal,SC,National Scholarship
69,262695,Tamil Nadu,ST,Atal Pension Yojana
29,993098,Maharashtra,OBC,Mudra Loan
47,927338,Rajasthan,EWS,Ayushman Bharat
23,223798,Tamil Nadu,ST,Mudra Loan
49,211487,Karnataka,ST,Mudra Loan
71,812077,Maharashtra,General,Atal Pension Yojana
67,71409,West Bengal,SC,PM Kisan
60,424649,Maharashtra,EWS,Atal Pension Yojana
61,947980,Karnataka,OBC,Atal Pension Yojana
50,1171684,Madhya Pradesh,General,PM Kisan
59,440525,West Bengal,EWS,Atal Pension Yojana
25,251583,Tamil Nadu,EWS,Mudra Loan
53,519354,West Bengal,General,Atal Pension Yojana
55,1091143,Madhya Pradesh,EWS,Ayushman Bharat
38,149065,Gujarat,OBC,PM Awas Yojana
41,515719,Gujarat,General,Mudra Loan
68,495158,Gujarat,SC,Atal Pension Yojana
72,259355,Gujarat,General,Atal Pension Yojana
22,377616,Madhya Pradesh,ST,National Scholarship
60,283085,Maharashtra,General,Atal Pension Yojana
37,737105,Maharashtra,ST,Atal Pension Yojana
69,488488,Bihar,SC,Atal Pension Yojana
58,744014,Gujarat,EWS,Atal Pension Yojana
41,532172,Madhya Pradesh,ST,Stand Up India
35,1140705,Uttar Pradesh,ST,Stand Up India
37,1137297,Gujarat,General,Ayushman Bharat
58,803107,Maharashtra,OBC,Atal Pension Yojana
24,423951,Uttar Pradesh,General,Mudra Loan
45,253304,Tamil Nadu,OBC,Ayushman Bharat
20,171453,Gujarat,SC,Ayushman Bharat
48,838627,Maharashtra,SC,Stand Up India
72,62481,Tamil Nadu,General,PM Awas Yojana
67,1010554,Maharashtra,ST,Atal Pension Yojana
23,905503,Tamil Nadu,EWS,Mudra Loan
29,471380,Tamil Nadu,ST,National Scholarship
55,149711,Rajasthan,OBC,PM Kisan
32,497011,Uttar Pradesh,General,PM Kisan
45,764315,Rajasthan,ST,PM Awas Yojana
70,849821,Madhya Pradesh,OBC,Atal Pension Yojana
63,753303,Karnataka,OBC,Atal Pension Yojana
39,143899,Maharashtra,OBC,PM Awas Yojana
47,611690,West Bengal,ST,Stand Up India
33,246658,Gujarat,OBC,Stand Up India
48,365175,West Bengal,OBC,National Scholarship
22,520157,Bihar,General,Mudra Loan
32,124624,Madhya Pradesh,SC,Ayushman Bharat
59,154090,Maharashtra,General,PM Awas Yojana
51,1044958,Maharashtra,General,Mudra Loan
65,529070,Uttar Pradesh,General,Atal Pension Yojana
27,59988,Gujarat,OBC,Ayushman Bharat
72,1167030,Rajasthan,General,Atal Pension Yojana
65,694177,Uttar Pradesh,SC,Atal Pension Yojana
52,85870,Tamil Nadu,ST,PM Awas Yojana
64,335113,Maharashtra,EWS,Atal Pension Yojana
43,632007,Rajasthan,SC,PM Awas Yojana
20,216782,Karnataka,General,National Scholarship
60,738546,Rajasthan,OBC,Atal Pension Yojana
51,118399,Maharashtra,EWS,PM Kisan
61,677916,Gujarat,SC,Atal Pension Yojana
70,968846,Madhya Pradesh,EWS,Atal Pension Yojana
19,540749,West Bengal,General,Mudra Loan
70,193416,West Bengal,EWS,PM Kisan
31,387929,Madhya Pradesh,OBC,PM Kisan
48,846009,Karnataka,General,Ayushman Bharat
51,1102363,Bihar,ST,Atal Pension Yojana
32,354967,Maharashtra,EWS,Mudra Loan
53,557523,Madhya Pradesh,SC,National Scholarship
56,1101242,Uttar Pradesh,OBC,Atal Pension Yojana
36,300307,Gujarat,EWS,Atal Pension Yojana
37,811113,Gujarat,EWS,Ayushman Bharat
72,911567,Bihar,General,Atal Pension Yojana
37,922168,Gujarat,SC,Atal Pension Yojana
34,336501,Gujarat,OBC,Stand Up India
35,778448,Gujarat,ST,Atal Pension Yojana
80,129904,Karnataka,SC,PM Awas Yojana
25,541924,Maharashtra,OBC,National Scholarship
78,164122,Tamil Nadu,OBC,PM Kisan
57,113722,Rajasthan,EWS,Ayushman Bharat
63,672921,Tamil Nadu,SC,Atal Pension Yojana
50,603540,Tamil Nadu,General,National Scholarship
76,1137186,Uttar Pradesh,SC,Atal Pension Yojana
77,1026463,Tamil Nadu,General,Atal Pension Yojana
36,1028550,Bihar,OBC,National Scholarship
26,194463,Karnataka,OBC,PM Awas Yojana
71,324042,West Bengal,EWS,Atal Pension Yojana
24,1088934,Rajasthan,EWS,Mudra Loan
32,856266,Madhya Pradesh,ST,Atal Pension Yojana
60,890922,Madhya Pradesh,EWS,Atal Pension Yojana
43,245609,West Bengal,OBC,Mudra Loan
32,803506,Karnataka,OBC,PM Awas Yojana
25,826223,West Bengal,General,Mudra Loan
32,248589,Uttar Pradesh,EWS,Ayushman Bharat
58,841967,Uttar Pradesh,EWS,Atal Pension Yojana
57,725741,Madhya Pradesh,EWS,Atal Pension Yojana
51,501575,Gujarat,EWS,Ayushman Bharat
80,142512,Tamil Nadu,ST,PM Awas Yojana
56,1065718,West Bengal,ST,Atal Pension Yojana
42,324781,Maharashtra,EWS,PM Awas Yojana
45,67960,Tamil Nadu,ST,PM Awas Yojana
70,358206,Tamil Nadu,ST,Atal Pension Yojana
34,783521,Maharashtra,ST,Stand Up India
66,240933,Tamil Nadu,EWS,Atal Pension Yojana
23,771494,Madhya Pradesh,SC,Mudra Loan
33,164700,Rajasthan,ST,PM Awas Yojana
23,497728,Bihar,OBC,Mudra Loan
33,839240,Bihar,OBC,National Scholarship
61,1116438,Bihar,ST,Atal Pension Yojana
25,314021,Rajasthan,SC,Mudra Loan
20,1000301,Tamil Nadu,OBC,Mudra Loan
54,1138728,Rajasthan,OBC,PM Awas Yojana
68,1038683,Uttar Pradesh,General,Atal Pension Yojana
19,1114336,Maharashtra,SC,Mudra Loan
72,56401,Rajasthan,General,Ayushman Bharat
56,265421,Tamil Nadu,SC,Atal Pension Yojana
20,924722,West Bengal,EWS,Mudra Loan
29,289234,Bihar,ST,Mudra Loan
58,448104,Rajasthan,SC,Atal Pension Yojana
47,122023,Maharashtra,OBC,Ayushman Bharat
33,510799,Uttar Pradesh,OBC,Mudra Loan
30,345607,West Bengal,OBC,PM Kisan
35,411962,Uttar Pradesh,General,PM Kisan
74,601203,Rajasthan,General,Atal Pension Yojana
43,54058,Madhya Pradesh,SC,PM Awas Yojana
34,1103507,Gujarat,OBC,Stand Up India
67,731864,Uttar Pradesh,ST,Atal Pension Yojana
26,531689,Maharashtra,OBC,National Scholarship
27,509412,Uttar Pradesh,SC,Mudra Loan
63,1160301,West Bengal,SC,Atal Pension Yojana
27,187098,Gujarat,General,PM Awas Yojana
18,210437,Bihar,General,National Scholarship
77,98976,Karnataka,OBC,PM Kisan
60,806444,Rajasthan,EWS,Atal Pension Yojana
59,1073141,Uttar Pradesh,OBC,Atal Pension Yojana
51,441052,Madhya Pradesh,EWS,Stand Up India
63,357530,West Bengal,EWS,Atal Pension Yojana
33,931357,Uttar Pradesh,OBC,Ayushman Bharat
56,943954,Madhya Pradesh,EWS,Atal Pension Yojana
47,320701,Maharashtra,SC,National Scholarship
29,579543,Maharashtra,ST,Mudra Loan
73,245402,Karnataka,General,Atal Pension Yojana
77,962343,Karnataka,EWS,Atal Pension Yojana
45,309744,Karnataka,General,PM Kisan
20,855596,Uttar Pradesh,ST,Mudra Loan
76,659458,Uttar Pradesh,EWS,Atal Pension Yojana
59,71747,Rajasthan,OBC,PM Kisan
62,732158,West Bengal,OBC,Atal Pension Yojana
79,445346,Maharashtra,SC,Atal Pension Yojana
39,463767,Karnataka,General,Stand Up India
36,817214,Karnataka,EWS,Mudra Loan
44,753334,Bihar,General,Ayushman Bharat
52,425174,Tamil Nadu,OBC,PM Awas Yojana
30,678535,Uttar Pradesh,OBC,Ayushman Bharat
27,988622,Gujarat,EWS,National Scholarship
49,737433,Rajasthan,General,Ayushman Bharat
62,1187074,Karnataka,OBC,Atal Pension Yojana
43,845401,Gujarat,General,Mudra Loan
68,645746,Karnataka,EWS,Atal Pension Yojana
80,893601,Bihar,ST,Atal Pension Yojana
58,534663,Tamil Nadu,ST,Atal Pension Yojana
21,707053,Rajasthan,OBC,National Scholarship
39,146695,Madhya Pradesh,OBC,PM Kisan
69,797166,Madhya Pradesh,SC,Atal Pension Yojana
35,373284,Rajasthan,SC,National Scholarship
27,454225,Karnataka,ST,National Scholarship
68,395019,Maharashtra,General,Atal Pension Yojana
29,862118,Uttar Pradesh,OBC,National Scholarship
65,357939,West Bengal,General,Atal Pension Yojana
52,380595,Tamil Nadu,EWS,PM Kisan
80,185326,Gujarat,EWS,Ayushman Bharat
80,756640,West Bengal,SC,Atal Pension Yojana
27,1174714,Tamil Nadu,EWS,Mudra Loan
21,76231,West Bengal,General,PM Kisan
72,823312,Madhya Pradesh,ST,Atal Pension Yojana
39,695713,Bihar,EWS,PM Awas Yojana
36,461056,Uttar Pradesh,General,Mudra Loan
28,1031204,West Bengal,ST,National Scholarship
24,176142,Karnataka,OBC,Ayushman Bharat
37,1015937,Gujarat,ST,Atal Pension Yojana
46,232216,Uttar Pradesh,ST,Mudra Loan
72,895035,West Bengal,ST,Atal Pension Yojana
26,532694,West Bengal,ST,National Scholarship
19,947620,Uttar Pradesh,SC,National Scholarship
73,1071893,Bihar,General,Atal Pension Yojana
24,1045056,Gujarat,General,National Scholarship
79,874769,Maharashtra,OBC,Atal Pension Yojana
76,93053,West Bengal,General,Ayushman Bharat
32,1042713,Rajasthan,EWS,Stand Up India
76,524435,Gujarat,ST,Atal Pension Yojana
21,461135,Tamil Nadu,EWS,National Scholarship
37,431484,Karnataka,ST,PM Awas Yojana
42,334146,Gujarat,OBC,Ayushman Bharat
62,609264,Tamil Nadu,ST,Atal Pension Yojana
39,423678,Uttar Pradesh,EWS,Ayushman Bharat
79,1123476,Tamil Nadu,ST,Atal Pension Yojana
54,848163,Uttar Pradesh,General,National Scholarship
59,711550,Maharashtra,OBC,Atal Pension Yojana
34,520987,Karnataka,SC,PM Kisan
66,1134396,Maharashtra,General,Atal Pension Yojana
47,102962,Madhya Pradesh,EWS,Ayushman Bharat
65,1084817,Madhya Pradesh,EWS,Atal Pension Yojana
44,704848,Bihar,EWS,Stand Up India
37,815339,Maharashtra,General,Mudra Loan
58,195047,Karnataka,OBC,PM Kisan
18,342535,West Bengal,General,National Scholarship
42,1102527,Gujarat,OBC,PM Kisan
69,995900,Karnataka,General,Atal Pension Yojana
23,669915,Karnataka,SC,National Scholarship
21,952940,West Bengal,SC,National Scholarship
50,92497,Uttar Pradesh,EWS,PM Kisan
60,63132,Maharashtra,ST,PM Kisan
41,986943,Gujarat,EWS,Atal Pension Yojana
49,916246,West Bengal,EWS,PM Kisan
21,638020,Bihar,General,National Scholarship
57,1056484,Gujarat,EWS,Atal Pension Yojana
69,436740,Gujarat,ST,Atal Pension Yojana
36,308530,West Bengal,SC,PM Kisan
49,220321,Tamil Nadu,SC,Mudra Loan
73,985327,West Bengal,EWS,Atal Pension Yojana
66,629067,Bihar,EWS,Atal Pension Yojana
80,417397,Rajasthan,SC,Atal Pension Yojana
72,442074,Bihar,SC,Atal Pension Yojana
65,568171,Rajasthan,ST,Atal Pension Yojana
72,290098,Tamil Nadu,General,Atal Pension Yojana
65,481400,Madhya Pradesh,ST,Atal Pension Yojana
21,850481,West Bengal,SC,National Scholarship
68,187329,Uttar Pradesh,SC,Ayushman Bharat
69,319964,Madhya Pradesh,OBC,Atal Pension Yojana
28,1113184,Karnataka,EWS,Mudra Loan
66,931594,Maharashtra,ST,Atal Pension Yojana
24,466684,Uttar Pradesh,General,Mudra Loan
39,352591,Maharashtra,SC,Stand Up India
63,615677,Madhya Pradesh,ST,Atal Pension Yojana
64,857869,Tamil Nadu,OBC,Atal Pension Yojana
32,490895,Madhya Pradesh,SC,Mudra Loan
38,497259,Bihar,SC,Stand Up India
38,683584,Bihar,EWS,Stand Up India
25,591742,Karnataka,OBC,National Scholarship
71,1080728,West Bengal,ST,Atal Pension Yojana
48,298739,Gujarat,ST,Mudra Loan
69,1000398,Madhya Pradesh,EWS,Atal Pension Yojana
59,134533,West Bengal,ST,PM Awas Yojana
43,772050,West Bengal,ST,National Scholarship
64,1014077,West Bengal,General,Atal Pension Yojana
57,783118,Bihar,OBC,Atal Pension Yojana
29,246986,Maharashtra,SC,National Scholarship
45,1142495,Uttar Pradesh,ST,Atal Pension Yojana
78,978201,Gujarat,SC,Atal Pension Yojana
46,396218,Karnataka,OBC,Mudra Loan
64,1181146,Rajasthan,SC,Atal Pension Yojana
43,146775,West Bengal,ST,Ayushman Bharat
43,702892,Tamil Nadu,OBC,Mudra Loan
48,63820,Gujarat,OBC,PM Kisan
65,810384,Rajasthan,EWS,Atal Pension Yojana
66,125089,West Bengal,OBC,Ayushman Bharat
41,1165602,Rajasthan,EWS,PM Kisan
61,116540,Bihar,General,Ayushman Bharat
52,264435,Karnataka,ST,Atal Pension Yojana
18,759871,Madhya Pradesh,SC,Mudra Loan
39,215305,Rajasthan,EWS,PM Kisan
38,273135,Karnataka,General,National Scholarship
38,451252,Gujarat,OBC,Mudra Loan
46,953244,Uttar Pradesh,General,Mudra Loan
62,857909,Gujarat,ST,Atal Pension Yojana
33,499981,Bihar,EWS,PM Awas Yojana
